reportno,date,description,street ,zipcode
15902,2016-01-29,Customer's fault,17884 HAYDEN BL,61802
15903,2014-11-17,Customer's fault,17885 BROWNSVILLE RD,61524
15904,2016-05-05,Everyone's fault,17886 ROUTE 51 HW,61729
15905,2014-05-25,Not Customer's fault,17887 BRAUN ST,62373
15906,2015-03-13,Everyone's fault,17888 COAL VALLEY RD,60173
15907,2015-08-29,Not Customer's fault,17889 RODI RD,62060
15908,2014-08-31,Everyone's fault,17890 PA RT #51 HW,62104
15909,2015-09-06,Not Customer's fault,17891 GREENTREE RD,61583
15910,2016-06-27,Customer's fault,17892 PERRY HW,61670
15911,2016-11-11,Everyone's fault,17893 MCCOY RD,61749
15912,2015-09-02,Not Customer's fault,17894 GREENTREE RD,60277
15913,2015-08-11,Customer's fault,17895 PERRY HW,60223
15914,2014-07-28,Customer's fault,17896 CLAIRTON BL,62463
15915,2015-03-03,Everyone's fault,17897 BENWOOD AV,60899
15916,2016-06-01,Customer's fault,17898 MT ROYAL BL,60120
15917,2014-08-26,Everyone's fault,17899 FOX CHAPEL RD,62142
15918,2015-08-27,Not Customer's fault,17900 WILLIAM FLYNN HW,61370
15919,2016-11-20,Everyone's fault,17901 LYNDHURST CR,60539
15920,2016-07-10,Customer's fault,17902 LIBERTY AV,61356
15921,2014-12-25,Not Customer's fault,17903 WASHINGTON RD,62510
15922,2014-06-17,Everyone's fault,17904 WEST RUN RD,62230
15923,2016-06-23,Everyone's fault,17905 EAST WILLOCK RD,62084
15924,2015-10-08,Customer's fault,17906 GREENTREE RD,62253
15925,2016-03-20,Customer's fault,17907 TENTH AV,60919
15926,2016-07-13,Not Customer's fault,17908 BROWNSVILLE RD,62286
15927,2016-06-05,Customer's fault,17909 EVERGREEN AV,62031
15928,2016-01-13,Not Customer's fault,17910 LYDIA ST,60621
15929,2015-08-07,Everyone's fault,17911 WEST NEWTON RD,60707
15930,2016-04-26,Not Customer's fault,17912 JACOBY RD,62338
15931,2016-12-06,Not Customer's fault,17913 HAYDEN BL,61754
15932,2016-04-06,Everyone's fault,17914 UNIVERSITY BL,61630
15933,2016-09-11,Everyone's fault,17915 STATE ROUTE 51 HW,60119
15934,2014-07-20,Everyone's fault,17916 WARRENDALE BAYNE RD,60684
15935,2014-11-03,Everyone's fault,17917 SCENERY DR,61590
15936,2014-11-21,Not Customer's fault,17918 SHAFER RD,62585
15937,2014-07-18,Not Customer's fault,17919 WILLIAM FLYNN HW,62532
15938,2015-07-11,Not Customer's fault,17920 CARSON ST,62118
15939,2016-04-15,Everyone's fault,17921 PERRY HW,62402
15940,2016-05-06,Everyone's fault,17922 6th AV,62192
15941,2015-11-30,Customer's fault,17923 WILLIAM FLYNN HW,62410
15942,2016-07-09,Customer's fault,17924 HOMESTEAD/DUQUESNE RD,61583
15943,2014-06-24,Everyone's fault,17925 BROADLEA ST,61940
15944,2015-08-03,Customer's fault,17926 SHENOT RD,61473
15945,2016-01-25,Everyone's fault,17927 WHISPERING WOODS DR,61702
15946,2014-05-23,Customer's fault,17928 LOVEDALE RD,61754
15947,2014-06-28,Not Customer's fault,17929 SQUAW RUN RD,61803
15948,2016-05-03,Not Customer's fault,17930 ELIZABETH AV,61689
15949,2015-04-10,Customer's fault,17931 FOURTH AV,62570
15950,2015-09-18,Everyone's fault,17932 FORSYTHE RD,61481
15951,2016-05-15,Everyone's fault,17933 COCHRAN RD,61016
15952,2016-03-25,Everyone's fault,17934 GREENTREE RD,62124
15953,2016-10-25,Not Customer's fault,17935 SAXONBURG BL,60674
15954,2016-11-28,Everyone's fault,17936 GREENTREE RD,60136
15955,2015-09-06,Customer's fault,17937 2101 WASHINGTON PIKE LT,60396
15956,2015-08-31,Customer's fault,17938 WILLIAM FLYNN HW,62540
15957,2015-03-10,Everyone's fault,17939 CLAIRTON BL,61217
15958,2014-04-18,Customer's fault,17940 WASHINGTON RD,61228
15959,2016-04-05,Customer's fault,17941 UNIVERSITY BL,61773
15960,2016-08-01,Everyone's fault,17942 EAST WILLOCK RD,61436
15961,2015-05-08,Everyone's fault,17943 CLAIRTON BL,62083
15962,2015-02-06,Not Customer's fault,17944 RICHLAND MALL DR,62154
15963,2014-12-07,Customer's fault,17945 SAW MILL RUN BL,61490
15964,2014-08-28,Everyone's fault,17946 WARRENDALE RD,60379
15965,2014-08-17,Everyone's fault,17947 CLAIRTON BL,60239
15966,2014-07-18,Everyone's fault,17948 ACADEMY ST,61372
15967,2016-03-07,Customer's fault,17949 HOMESTEAD GRAY'S BR,61189
15968,2015-07-09,Not Customer's fault,17950 WEXFORD BAYNE RD,60172
15969,2014-10-04,Not Customer's fault,17951 SEVENTH AV,60995
15970,2015-08-23,Everyone's fault,17952 BRENTWOOD TOWNE SQUARE PARKING PZ,60673
15971,2015-09-08,Everyone's fault,17953 ROSS ST,62374
15972,2015-12-23,Customer's fault,17954 WEXFORD RD,62186
15973,2016-11-19,Customer's fault,17955 GREENTREE RD,61376
15974,2016-04-29,Everyone's fault,17956 RICHLAND MALL WY,61052
15975,2016-07-24,Everyone's fault,17957 KRAMER RD,60335
15976,2016-01-14,Everyone's fault,17958 RAINBOW RUN RD,60172
15977,2014-06-28,Everyone's fault,17959 BROWNSVILLE RD,61356
15978,2015-11-23,Everyone's fault,17960 VANADIUM RD,62125
15979,2016-11-07,Customer's fault,17961 MALL CIRCLE DR,60497
15980,2014-07-27,Everyone's fault,17962 ARNDT RD,61873
15981,2014-04-30,Everyone's fault,17963 GOLDEN MILE HW,61845
15982,2014-06-19,Not Customer's fault,17964 CHURCH ST,60274
15983,2015-09-05,Customer's fault,17965 GILL HALL ROAD RD,60452
15984,2015-05-02,Not Customer's fault,17966 GREEN OAK LN,60845
15985,2016-10-24,Everyone's fault,17967 GREENTREE RD,60222
15986,2015-06-12,Not Customer's fault,17968 RIVERVIEW AV,60383
15987,2014-08-24,Everyone's fault,17969 PRESTLEY RD,60749
15988,2016-08-27,Customer's fault,17970 SALEM HOLLOW RD,62013
15989,2016-11-30,Not Customer's fault,17971 MOUNT ROYAL BL,60802
15990,2015-05-11,Everyone's fault,17972 MALL CIRCLE BL,60564
15991,2015-04-18,Customer's fault,17973 INDIANOLA RD,60949
15992,2015-12-06,Not Customer's fault,17974 WASHINGTON PK,61161
15993,2016-07-08,Everyone's fault,17975 BAKERSTOWN/WARRENDALE RD,62415
15994,2015-08-26,Not Customer's fault,17976 NORTHERN PI,62471
15995,2015-12-23,Everyone's fault,17977 WILLIAM FLYNN HW,60737
15996,2014-06-06,Customer's fault,17978 BOWER HILL RD,60257
15997,2016-03-26,Customer's fault,17979 LAUREL HILL DR,61921
15998,2015-07-11,Customer's fault,17980 MT.PLEASANT RD,60355
15999,2016-11-18,Not Customer's fault,17981 RAMP FROM 837 TO RT 51 SOUTH LN,61294
16000,2016-11-05,Not Customer's fault,17982 CLAIRTON BL,60588
16001,2015-08-31,Customer's fault,17983 PERRY HW,61653
16002,2015-01-31,Not Customer's fault,17984 MIDDLE RD,60327
16003,2016-10-19,Customer's fault,17985 PERRY HW,60376
16004,2014-10-14,Everyone's fault,17986 WARRENDALE BAYNE RD,61428
16005,2014-10-30,Everyone's fault,17987 WATERFRONT DR,61491
16006,2015-01-01,Everyone's fault,17988 WEST HARDIES RD,60515
16007,2015-05-14,Customer's fault,17989 BEAVER GRADE RD,60154
16008,2015-06-30,Not Customer's fault,17990 WORTHINGTON AVE AV,61022
16009,2016-01-18,Not Customer's fault,17991 SR 0910 SH,61037
16010,2015-01-28,Not Customer's fault,17992 HAYDEN BL,62486
16011,2016-09-17,Customer's fault,17993 PERRY HW,62076
16012,2016-05-23,Everyone's fault,17994 WILLIAM PENN HW,60169
16013,2014-11-13,Customer's fault,17995 PLEASANT HILL RD,60745
16014,2015-01-14,Everyone's fault,17996 FREEPORT RD,60516
16015,2016-11-20,Not Customer's fault,17997 WALLACE RD,61583
16016,2014-06-21,Not Customer's fault,17998 PERRY HW,62403
16017,2015-12-05,Not Customer's fault,17999 PROVOST RD,61437
16018,2015-03-27,Not Customer's fault,18000 SR 0910 SH,61241
16019,2016-07-16,Not Customer's fault,18001 BENWOOD AV,61262
16020,2014-07-31,Not Customer's fault,18002 GREENTREE RD,61243
16021,2016-07-20,Not Customer's fault,18003 COMMUNITY CENTER DR,60458
16022,2015-10-23,Everyone's fault,18004 SOOSE RD,62581
16023,2014-04-11,Customer's fault,18005 MOSSIDE BL,62552
16024,2015-03-23,Customer's fault,18006 BROADWAY AV,60195
16025,2016-05-15,Everyone's fault,18007 FIFTH AV,61750
16026,2016-12-07,Customer's fault,18008 BAKERSTOWN/WARRENDALE RD,62622
16027,2015-12-06,Not Customer's fault,18009 TENTH ST,62011
16028,2014-06-20,Everyone's fault,18010 FRIENDSHIP AV,61785
16029,2016-09-16,Not Customer's fault,18011 WASHINGTON BL,61518
16030,2014-10-08,Everyone's fault,18012 PENN AV,62101
16031,2015-06-03,Everyone's fault,18013 VERONA BL,60888
16032,2014-11-19,Customer's fault,18014 PENN CR,61843
16033,2015-01-14,Everyone's fault,18015 BUTLER ST,61240
16034,2015-01-04,Not Customer's fault,18016 STANTON AV,61099
16035,2014-08-13,Everyone's fault,18017 ALLIES OF THE BL,60197
16036,2014-10-08,Not Customer's fault,18018 NEVILLE ST,61655
16037,2016-09-05,Everyone's fault,18019 NEVILLE ST,61738
16038,2015-05-27,Customer's fault,18020 FIFTH AV,61085
16039,2015-10-14,Everyone's fault,18021 FIFTH AV,60709
16040,2016-07-19,Everyone's fault,18022 DUNCAN ST,62132
16041,2014-04-09,Customer's fault,18023 TERRACE ST,61769
16042,2014-07-29,Everyone's fault,18024 LOUISA ST,61844
16043,2014-12-12,Customer's fault,18025 EWING RD,61276
16044,2015-10-18,Customer's fault,18026 BEAVER GRADE RD,62175
16045,2016-06-02,Customer's fault,18027 BUSINESS 60 HW,60203
16046,2014-04-25,Everyone's fault,18028 MCKNIGHT RD,61592
16047,2015-11-08,Everyone's fault,18029 MCKNIGHT RD,60285
16048,2014-04-10,Customer's fault,18030 EAST BARKHURST DR,62264
16049,2015-05-02,Customer's fault,18031 PERRY HIGHWAY HW,62469
16050,2016-08-05,Not Customer's fault,18032 DUNCAN AV,60634
16051,2014-08-11,Customer's fault,18033 PERRY HW,61646
16052,2016-09-24,Everyone's fault,18034 PERRY HW,60764
16053,2016-08-08,Not Customer's fault,18035 PEEBLES RD,62552
16054,2016-05-15,Customer's fault,18036 BABCOCK BL,60667
16055,2015-01-04,Everyone's fault,18037 PERRY HW,60392
16056,2016-08-23,Everyone's fault,18038 PERRY HW,61494
16057,2016-09-14,Not Customer's fault,18039 MCKNIGHT RD,62094
16058,2014-04-17,Customer's fault,18040 MCKNIGHT RD,61271
16059,2015-09-26,Everyone's fault,18041 WILLIAM FLYNN HW,60232
16060,2015-03-23,Customer's fault,18042 WILLIAM FLYNN HW,62379
16061,2015-06-26,Everyone's fault,18043 WILDWOOD SAMPLE RD,62082
16062,2014-04-12,Not Customer's fault,18044 HW,61726
16063,2014-12-09,Not Customer's fault,18045 GLASS RUN ROAD RD,60441
16064,2015-07-27,Customer's fault,18046 PENN AV,61011
16065,2014-09-14,Not Customer's fault,18047 SEMPLE ST,61812
16066,2014-05-12,Customer's fault,18048 HW,60474
16067,2014-12-20,Everyone's fault,18049 CENTRE AV,60837
16068,2016-01-25,Everyone's fault,18050 WASHINGTON BL,61476
16069,2015-07-16,Not Customer's fault,18051 CENTRE AV,61387
16070,2016-11-09,Customer's fault,18052 CENTRE AV,62376
16071,2015-02-04,Everyone's fault,18053 RACE ST,60881
16072,2016-02-07,Customer's fault,18054 FRIENDSHIP AV,61314
16073,2014-08-30,Customer's fault,18055 BENNETT ST,60655
16074,2016-03-02,Not Customer's fault,18056 BAUM BL,61732
16075,2016-05-20,Not Customer's fault,18057 STANTON AV,62233
16076,2014-10-21,Not Customer's fault,18058 MIFFLIN RD,60209
16077,2016-09-06,Not Customer's fault,18059 LANG AV,61538
16078,2016-04-12,Everyone's fault,18060 OAKWOOD ST,62064
16079,2015-09-21,Customer's fault,18061 SHADY AV,60952
16080,2016-09-03,Customer's fault,18062 HOWE ST,60975
16081,2014-05-19,Everyone's fault,18063 SONDUSKY ST,61124
16082,2016-08-06,Customer's fault,18064 BRIGHTON RD,60249
16083,2014-09-20,Customer's fault,18065 RAMP RD,62285
16084,2016-08-13,Everyone's fault,18066 MCKEES ROCKS BR,60569
16085,2015-08-11,Everyone's fault,18067 OHIO RIVER BL,62304
16086,2015-04-25,Not Customer's fault,18068 GENERAL ROBINSON ST,61201
16087,2015-06-22,Not Customer's fault,18069 SPRING GARDEN AV,60169
16088,2016-05-07,Not Customer's fault,18070 FEDERAL ST,60242
16089,2016-02-11,Not Customer's fault,18071 PERRYSVILLE AV,60441
16090,2014-06-09,Everyone's fault,18072 FEDERAL ST,61305
16091,2015-03-03,Everyone's fault,18073 MADISON AV,62379
16092,2015-04-24,Everyone's fault,18074 MCKNIGHT RD,62513
16093,2015-10-23,Everyone's fault,18075 SAW MILL RUN BL,60328
16094,2016-03-23,Everyone's fault,18076 STEUBEN ST,61228
16095,2015-08-05,Everyone's fault,18077 SAWMILL RUN BL,61787
16096,2016-04-28,Not Customer's fault,18078 MAIN ST,62457
16097,2015-12-07,Customer's fault,18079 FIFTH AV,60381
16098,2015-06-06,Not Customer's fault,18080 CHESTNUT ST,61773
16099,2014-12-31,Not Customer's fault,18081 NOBELSTOWN RD,62084
16100,2015-12-21,Everyone's fault,18082 FEDERAL ST,61813
16101,2016-02-24,Customer's fault,18083 OHIO ST,60496
16102,2016-08-17,Not Customer's fault,18084 BANKSVILLE RD,60898
16103,2014-11-02,Not Customer's fault,18085 WOODRUFF ST,60912
16104,2016-09-29,Everyone's fault,18086 SAW MILL RUN BL,60209
16105,2015-04-03,Not Customer's fault,18087 NOBLES LN,60364
16106,2016-03-11,Everyone's fault,18088 VIRGINIA AV,61698
16107,2015-09-28,Not Customer's fault,18089 SAINT THOMAS ST,61112
16108,2016-11-24,Everyone's fault,18090 EIGHTEEN STREET ST,60766
16109,2016-12-21,Customer's fault,18091 EAST MALL RUN BL,61615
16110,2015-08-09,Everyone's fault,18092 GRANDVIEW AV,60855
16111,2015-02-19,Customer's fault,18093 STEUBEN ST,61426
16112,2014-05-23,Everyone's fault,18094 BROSVILLE ST,60907
16113,2015-03-22,Not Customer's fault,18095 STERLING ST,62553
16114,2015-12-25,Customer's fault,18096 ESTELLA ST,62360
16115,2016-11-27,Everyone's fault,18097 CARSON ST,61846
16116,2015-01-27,Not Customer's fault,18098 TENTH ST,60865
16117,2016-07-01,Not Customer's fault,18099 ARABELLA ST,61147
16118,2015-08-16,Customer's fault,18100 EAST CARSON ST,61920
16119,2016-11-01,Everyone's fault,18101 SAW MILL RUN BL,61010
16120,2016-04-04,Not Customer's fault,18102 HAMPSHIRE AV,61467
16121,2014-05-07,Not Customer's fault,18103 SAW MILL RUN BL,60670
16122,2016-03-30,Customer's fault,18104 BALOWICK ST,60165
16123,2015-04-14,Customer's fault,18105 CARSON ST,61855
16124,2015-04-03,Not Customer's fault,18106 STERLING ST,61597
16125,2015-10-01,Everyone's fault,18107 WEST END CR,61382
16126,2015-06-19,Not Customer's fault,18108 GRIMES AV,60130
16127,2016-01-31,Not Customer's fault,18109 RAMP A RD,60168
16128,2015-04-05,Not Customer's fault,18110 LIBERTY AV,60861
16129,2016-05-20,Everyone's fault,18111 SIXTH ST,61668
16130,2015-05-07,Customer's fault,18112 WOOD ST,60946
16131,2015-01-26,Customer's fault,18113 FIFTH AV,61200
16132,2015-08-17,Customer's fault,18114 WOOD ST,61768
16133,2015-02-16,Not Customer's fault,18115 HERRON AV,60242
16134,2014-04-09,Not Customer's fault,18116 FIFTH AV,62403
16135,2015-01-08,Not Customer's fault,18117 PENN AV,61353
16136,2014-09-28,Customer's fault,18118 CENTRE AV,60893
16137,2015-04-15,Not Customer's fault,18119 LIBERTY AV,60525
16138,2015-02-13,Not Customer's fault,18120 HERSHEL ST,62181
16139,2016-11-26,Not Customer's fault,18121 ELEVENTH ST,61645
16140,2014-07-14,Customer's fault,18122 SIXTH AV,61230
16141,2014-09-03,Not Customer's fault,18123 LIBERTY AV,61714
16142,2015-12-03,Everyone's fault,18124 PARKFIELO ST,60518
16143,2015-10-11,Not Customer's fault,18125 BEECHVIEW AV,60303
16144,2016-07-28,Not Customer's fault,18126 SAW MILL RUN BL,62526
16145,2015-01-30,Not Customer's fault,18127 KATHLEEN ST,61457
16146,2016-10-12,Everyone's fault,18128 BROSVILLE AV,62232
16147,2016-05-07,Not Customer's fault,18129 EAST CARSON ST,62515
16148,2014-12-23,Not Customer's fault,18130 HAAS ST,62318
16149,2015-04-07,Not Customer's fault,18131 WABASH ST,62228
16150,2014-09-13,Not Customer's fault,18132 LIBERTY BR,61654
16151,2014-12-07,Everyone's fault,18133 NOBLESTOWN RD,60900
16152,2014-09-30,Customer's fault,18134 EASTCARSON ST,61962
16153,2014-09-01,Everyone's fault,18135 NOBLESTOWN RD,62252
16154,2014-08-10,Customer's fault,18136 SAW MILL RUN BL,61383
16155,2015-12-28,Not Customer's fault,18137 BRUSHTON AV,61368
16156,2015-06-14,Everyone's fault,18138 WASHINGTON BL,62464
16157,2014-11-16,Customer's fault,18139 ROCHESTER RD,62306
16158,2014-12-12,Everyone's fault,18140 EDEN PARK BL,62517
16159,2014-11-11,Customer's fault,18141 RAMP RD,60997
16160,2016-12-13,Everyone's fault,18142 TURNPIKE RAMP RD,61844
16161,2016-08-14,Not Customer's fault,18143 HW,61706
16162,2016-12-28,Not Customer's fault,18144 PENN LINCOLN PY,60376
16163,2015-11-04,Not Customer's fault,18145 RAYMOND P SHAFER HW,60932
16164,2016-11-22,Customer's fault,18146 RAYMOND P SHAFER HW,61158
16165,2016-10-06,Everyone's fault,18147 SQUIRREL HILL TN,60362
16166,2016-11-03,Not Customer's fault,18148 FREEPORT RD,60763
16167,2014-09-24,Not Customer's fault,18149 FREEPORT RD,60384
16168,2015-07-27,Everyone's fault,18150 FREEPORT RD,62550
16169,2015-02-21,Not Customer's fault,18151 SR 0910 HW,62330
16170,2016-11-06,Customer's fault,18152 FREEPORT RD,61099
16171,2015-07-13,Everyone's fault,18153 RUSSELLTON RD,61447
16172,2016-04-19,Everyone's fault,18154 MT TROY RD,61473
16173,2014-05-31,Not Customer's fault,18155 HULTON RD,62413
16174,2014-10-18,Not Customer's fault,18156 FRANKSTOWN RD,61715
16175,2014-06-14,Everyone's fault,18157 SANDY CREEK RD,61858
16176,2016-08-04,Everyone's fault,18158 SALTSBURG RD,61626
16177,2016-08-24,Customer's fault,18159 LEECHBURG RD,60305
16178,2015-12-06,Customer's fault,18160 SHANNON RD,60987
16179,2016-04-19,Not Customer's fault,18161 LIME HOLLOW RD,60551
16180,2015-05-18,Everyone's fault,18162 SANDY CREEK RD,62134
16181,2015-10-20,Customer's fault,18163 VERONA RD,62416
16182,2014-10-12,Not Customer's fault,18164 UNIVERSAL RD,60360
16183,2015-10-10,Not Customer's fault,18165 JEFFERSON RD,61469
16184,2014-10-01,Customer's fault,18166 ALLEGHENY RIVER BL,62020
16185,2015-11-23,Not Customer's fault,18167 LIME HOLLOW RD,61851
16186,2016-01-08,Customer's fault,18168 MT CARMEL RD,60875
16187,2016-08-11,Everyone's fault,18169 FRIENDSHIP AV,60468
16188,2014-09-09,Customer's fault,18170 BROWNS HILL RD,62229
16189,2016-09-10,Not Customer's fault,18171 WIGHTMAN SY,61540
16190,2016-10-01,Not Customer's fault,18172 PERRY HW,61160
16191,2014-06-15,Everyone's fault,18173 BABCOCK BL,60846
16192,2016-12-27,Everyone's fault,18174 OLD WILLIAM PENN HW,60732
16193,2015-05-24,Customer's fault,18175 BENNETT ST,60771
16194,2015-04-04,Everyone's fault,18176 OHIO ST,60933
16195,2015-10-07,Customer's fault,18177 EAST ST,61755
16196,2014-06-04,Everyone's fault,18178 WOODS RUN AV,60759
16197,2015-05-30,Everyone's fault,18179 WEST CARSON ST,60629
16198,2015-09-09,Everyone's fault,18180 LIBERTY BR,61557
16199,2014-10-17,Everyone's fault,18181 CARSON ST,60135
16200,2015-02-28,Customer's fault,18182 PIONEER AV,62049
16201,2016-09-23,Everyone's fault,18183 BUTLER ST,60669
16202,2016-12-27,Customer's fault,18184 ROSS ST,62170
16203,2015-01-08,Not Customer's fault,18185 PRIDE ST,61713
16204,2016-10-21,Everyone's fault,18186 SAW MILL RUN BL,61268
16205,2015-04-21,Not Customer's fault,18187 BROWNSVILLE RD,62146
16206,2015-11-09,Not Customer's fault,18188 HAYDEN BL,62324
16207,2014-10-24,Not Customer's fault,18189 NORTH HILLS EX,60836
16208,2016-02-27,Not Customer's fault,18190 PENN LINCOLN PY,61797
16209,2015-12-02,Everyone's fault,18191 FORT PITT TN,60577
16210,2015-06-04,Customer's fault,18192 RAMP A RD,61121
16211,2016-10-10,Not Customer's fault,18193 PENN LINCOLN PY,62274
16212,2014-07-22,Customer's fault,18194 NORTH HILLS EX,61020
16213,2015-01-25,Not Customer's fault,18195 PENN LINCOLN PY,62353
16214,2015-07-08,Everyone's fault,18196 PENN LINCOLN PY,62379
16215,2015-07-16,Everyone's fault,18197 KERR RD,61451
16216,2016-01-12,Everyone's fault,18198 GREENSBURG RD,62379
16217,2014-09-23,Everyone's fault,18199 CENTER RD,61016
16218,2015-04-14,Customer's fault,18200 SARDIS RD,61566
16219,2015-08-22,Not Customer's fault,18201 PIERSON RUN RD,62418
16220,2015-10-30,Not Customer's fault,18202 HULTON RD,60186
16221,2016-01-13,Everyone's fault,18203 SALTSBURG RD,62326
16222,2014-04-09,Everyone's fault,18204 SALTSBURG RD,60354
16223,2014-09-26,Not Customer's fault,18205 CENTER RD,60342
16224,2015-02-28,Customer's fault,18206 COXCOMB HILL RD,62238
16225,2015-02-01,Customer's fault,18207 GOLDEN MILE HW,61858
16226,2016-10-21,Customer's fault,18208 UNITY CENTER RD,61857
16227,2015-02-16,Everyone's fault,18209 BROWNTOWN RD,61973
16228,2014-09-05,Not Customer's fault,18210 UNITY CENTER RD,61214
16229,2014-11-27,Not Customer's fault,18211 SALTSBURG RD,62622
16230,2014-08-19,Everyone's fault,18212 OLD LEECHBURG RD,60513
16231,2015-02-19,Customer's fault,18213 NEW TEXAS RD,60863
16232,2015-04-16,Everyone's fault,18214 LIGONIER LN,62185
16233,2015-09-25,Everyone's fault,18215 WASHINGTON PK,61118
16234,2016-09-26,Not Customer's fault,18216 MT ROYAL BL,60429
16235,2015-04-14,Everyone's fault,18217 KAUFMAN RD,62175
16236,2014-08-30,Not Customer's fault,18218 CEDAR RIDGE RD,61722
16237,2014-09-11,Not Customer's fault,18219 BAKERSTOWN RD,61215
16238,2016-04-24,Everyone's fault,18220 LITTLE DEER CREEK RD,60564
16239,2015-12-04,Not Customer's fault,18221 CLENDENNING RD,60525
16240,2015-12-24,Everyone's fault,18222 RUSSELLTON/DORSEYVILLE RD,60468
16241,2015-10-15,Not Customer's fault,18223 SR 0910 SH,61493
16242,2015-04-18,Customer's fault,18224 OAK RD,62457
16243,2014-08-08,Customer's fault,18225 SAXONBURG BL,60232
16244,2016-02-15,Customer's fault,18226 SAXONBURG BL,62330
16245,2016-10-10,Everyone's fault,18227 SAXONBURG BL,60727
16246,2014-07-15,Not Customer's fault,18228 BAKERSTOWN RD,61816
16247,2015-05-31,Customer's fault,18229 BAIRDFORD RD,61759
16248,2015-03-28,Customer's fault,18230 CEDAR RIDGE RD,60803
16249,2015-10-12,Not Customer's fault,18231 STEUBENVILLE PK,62005
16250,2016-09-20,Not Customer's fault,18232 LINCOLN HW,61225
16251,2015-07-15,Everyone's fault,18233 CLIFF MINE RD,60236
16252,2016-05-05,Everyone's fault,18234 NOBLESTOWN RD,60752
16253,2016-08-04,Customer's fault,18235 OAKDALE RD,62414
16254,2014-10-15,Everyone's fault,18236 SUMMIT PARK DR,62279
16255,2015-07-12,Customer's fault,18237 LINCOLN HW,60804
16256,2016-09-20,Everyone's fault,18238 STEUBENVILLE PK,60331
16257,2015-10-18,Not Customer's fault,18239 KELSO RD,60415
16258,2016-07-23,Customer's fault,18240 PENN LINCOLN PY,61315
16259,2015-04-03,Everyone's fault,18241 PENN LINCOLN PY,60273
16260,2016-04-27,Everyone's fault,18242 PENN LINCOLN PY,61495
16261,2016-08-30,Not Customer's fault,18243 PENN LINCOLN PY,60881
16262,2015-12-13,Customer's fault,18244 PENN LINCOLN PY,61872
16263,2016-02-12,Not Customer's fault,18245 RAYMOND P SHAFER HW,60926
16264,2015-03-03,Everyone's fault,18246 PENN LINCOLN PY,60891
16265,2016-05-31,Everyone's fault,18247 PENN LINCOLN PY,62547
16266,2014-06-21,Not Customer's fault,18248 NORTH HILLS EX,62151
16267,2014-05-14,Customer's fault,18249 WILLIAMPENN RD,62375
16268,2016-12-14,Not Customer's fault,18250 MONONGAHELA BRIDGE RD,60342
16269,2016-10-26,Not Customer's fault,18251 OHIO RIVER BL,61411
16270,2015-05-01,Everyone's fault,18252 PARKMANOR BL,61709
16271,2015-03-23,Everyone's fault,18253 EIGHTH AV,61084
16272,2016-09-20,Everyone's fault,18254 FIFTH AV,61830
16273,2016-10-25,Everyone's fault,18255 FIFTH AV,60451
16274,2016-07-13,Everyone's fault,18256 WALNUT ST,62522
16275,2015-05-20,Everyone's fault,18257 GARBETT ST,60570
16276,2016-10-31,Not Customer's fault,18258 LONG RUN RD,62504
16277,2015-03-22,Customer's fault,18259 CALIFORNIA AV,60177
16278,2016-07-30,Customer's fault,18260 FERN HOLLOW RD,60541
16279,2015-01-17,Not Customer's fault,18261 PITTSBURGH ST,61570
16280,2016-11-24,Not Customer's fault,18262 WASHINGTON AV,61724
16281,2016-12-30,Customer's fault,18263 MOON CLINTON RD,60356
16282,2014-09-28,Everyone's fault,18264 BUSINESS 60 HW,62501
16283,2014-06-15,Customer's fault,18265 MONTOUR INT/RMP A RD,61903
16284,2016-11-27,Everyone's fault,18266 CLIFF MINE RD,61851
16285,2016-08-31,Customer's fault,18267 ALLIES BL,60194
16286,2016-12-02,Not Customer's fault,18268 EIGHTH AV,60825
16287,2015-11-15,Everyone's fault,18269 MAIN ST,61888
16288,2014-05-11,Not Customer's fault,18270 BEAVER GRADE RD,61151
16289,2015-10-02,Everyone's fault,18271 BRODHEAD RD,62513
16290,2014-11-22,Everyone's fault,18272 MOON CLINTON RD,62247
16291,2015-07-29,Everyone's fault,18273 WASHINGTON PK,60386
16292,2015-04-01,Everyone's fault,18274 LINCOLN HW,60590
16293,2016-01-13,Not Customer's fault,18275 CARGO RD,61720
16294,2016-07-24,Everyone's fault,18276 LYNN AV,61647
16295,2014-07-14,Everyone's fault,18277 BAKERSTOWN/WARRENDALE RD,61037
16296,2016-01-18,Not Customer's fault,18278 BAKERSTOWN/WARRENDALE RD,62180
16297,2015-04-07,Everyone's fault,18279 HAYDEN BL,60997
16298,2015-06-14,Customer's fault,18280 UNION AV,62210
16299,2015-12-30,Not Customer's fault,18281 19th ST,60315
16300,2016-05-04,Not Customer's fault,18282 CENTER RD,62190
16301,2014-05-11,Not Customer's fault,18283 PERRY HW,60844
16302,2015-07-14,Not Customer's fault,18284 FORSYTHE RD,60342
16303,2015-10-30,Everyone's fault,18285 OHIO RIVER BL,62011
16304,2016-07-15,Not Customer's fault,18286 NOBLE AVE AV,62049
16305,2016-04-22,Not Customer's fault,18287 CLAIRTON BL,60715
16306,2016-02-14,Everyone's fault,18288 PERRY HW,62469
16307,2015-06-30,Not Customer's fault,18289 WEXFORD BAYNE RD,62493
16308,2014-09-22,Not Customer's fault,18290 BROWNSVILLE RD,62357
16309,2016-08-30,Everyone's fault,18291 WASHINGTON AV,62209
16310,2016-03-11,Everyone's fault,18292 HUNT RD,61183
